title,price,description

Кепка Buff National Geographic Trucker Cap,973 грн,"

	Стильна та оригінальна кепка Buff National Georgraphic Trucker Cap з нової колекції весна-літо 2021, натхненна стилем 80-тих. Стане незамінимим головним убором влітку. Кепка відмінно захищає голову від сонця і не парить в спеку. Задня частина виконана з сітки для кращої вентиляції. Всередині вшито стрічку для відведення вологи та поту. Buff National Georgraphic Trucker Cap підійде як для подорожей, так і для щоденного використання у місті.

Призначення: туризм, подорожі, місто.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- внутрішня стрічка для відведення вологи

	- регульована застібка на кнопках

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- дизайн з логотипом National Geographic

	- дозволяє відчувати себе комфортно в спекотну погоду до 30°C

Технічні характеристики: 

	Матеріали:

	Передня частина: 97% Polyester, 3% Elastane

	Задня сторона: 100% Polyester

	Козирок: 97% Polyester, 3% Elastane

	Внутрішня смужка: 100% Polyester

	Розмір: 18x20x10,5 см
"

Кепка Buff Pack Run Cap XL,973 грн,"
Кепка Buff Pack Run Cap XL R- city - легка, компактна кепка розроблена для бігу. Вона поєднала в собі стиль та технологічність, чудовий захист від сонця і ефективне виведення вологи від тіла. Найцікавіше, що ви можете скласти її в маленьку кульку, заховати в кишеню, після чого вона не втратить оригінальну форму. Поєднує в собі ультра функціональний матеріал і продуманий до дрібниць дизайн, що забезпечує зручне використання .

Призначення: Біг, заняття спортом.

Особливості:

	-ультралегка вага

	-технологія Fastwick Extra Plus - трикотажна тканина, із плетеного полієстру, яка утворює спеціальну конструкцію повітропроникних властивостей, текстиль швидко сохне і зберігає комфорт при високій інтенсивності фізичних навантажень

	-тканина Bi-stretch, поєднує в собі стиль та технологічність. Легкий, компактний і матеріал, що не просвічується забезпечує кращу посадку в будь яких умовах

	-добре вентилюється, відводить вологу і швидко висихає

	- UPF 50+сертифікований захист від сонця ( від ультрафіолетового випромінювання)

	-обє’м регулюється шнурком і зажимом

	-компактна

Технічні характеристики:

	Матеріал: 100% полієстр

	Вага: 30г

	Розмір: 53- 62 см


"

Кепка Buff Pack Trek Cap Solid,924 грн,"

	Легка та зручна  Pack Trek Cap з весняно-літньої колекції Buff 2020 від іспанського виробника, якому довіряють мандрівники з усього світу. Чудово підійде для бігу, трекінгу та прогулянок. Дуже компактно спаковується, займаючи мало місця та не втрачаючи від цього своєї форми. Тканина дихає, швидко сохне та відводить вологу. Довгий козирок чудово захищає від сонця, а еластична тканина забезпечує максимально комфортну посадку головного убору. Дарує не лише комфорт, а й робить ваші пригоди під палючим сонцем більш безпечними завдяки сертифікованому захисту UPF50 + від ультрафіолетового випромінювання – тканини, що використовувались під час виробництва, протестовані на захист від ультрафіолетового випромінювання відповідно до міжнародних стандартів.

Призначення: біг, трекінг, прогулянки.

Особливості: 

	- стильна та практична

	- ультракомпактна та легка

	- не втрачає форми після зберігання у кишенях чи тісних відділеннях рюкзака

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- можливість регулювання розміру

	- не можна прати у пральній машині

	- чудово підходить для активного відпочинку та повсякденного використання

Технічні характеристики: 

	Матеріали: 100% Polyester

	Розмір: дорослий

	Обхват голови: чоловічий - 54-61 cм, жіночий - 52-59 cm

	Розміри: 27x19 см


"

Кепка Buff Pro Run Cap,875 грн700 грн,"

	Легка та зручна кепка від Buff. Чудово підійде для бігу на довгі дистанції та всім, хто шукає високотехнологічний спортивний головний убір. Кепка з унікальним дизайном, створена для захисту від сонця та максимального комфорту під час інтенсивних занять спортом.

Особливості: 

	- стильна та практична

	- гнучкий козирок з 100% поліуретану з ефектом пам'яті форми

	- світловідбиваючі елементи дозволять бути помітним в темний час доби

	- ультракомпактна та легка

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- можливість регулювання розміру

	- ідеально підходить для бігу та інших видів активного відпочинку

Технічні характеристики:

	Матеріали: 100% Polyester

	Розмір:  дорослий

	Розміри: 19x17х11 см

	УФ-захист: UPF50+ 


"

Кепка Buff Pro Run Cap R-Sural Multi / Wira-black,875 грн700 грн,"

	Легка та зручна  Buff Pro Run Cap з весняно-літньої колекції Buff 2020 від іспанського виробника, якому довіряють мандрівники з усього світу. Чудово підійде для бігу на довгі дистанції та всім, хто шукає високотехнологічний спортивний головний убір. Кепка з унікальним дизайном, створена для максимального комфорту під час інтенсивних занять спортом. Тканина дихає, швидко сохне та відводить вологу. Довгий козирок чудово захищає від сонця, а еластична тканина забезпечує максимально комфортну посадку головного убору. Дарує не лише комфорт, а й робить ваші пригоди під палючим сонцем більш безпечними завдяки сертифікованому захисту UPF50 + від ультрафіолетового випромінювання – тканини, що використовувались під час виробництва, протестовані на захист від ультрафіолетового випромінювання відповідно до міжнародних стандартів.

Призначення: біг, трекінг, прогулянки.

Особливості: 

	- стильна та практична

	- ультракомпактна та легка

	- світловідбиваючі елементи дозволять бути помітним в темний час доби

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- отвори для розміщення сонцезахисних окулярів (2 позиції) - ідеально підходить для бігу та інших видів активного відпочинку

Технічні характеристики: 

	Матеріали: 100% Polyester

	Розмір: 53-61 cм; 23х25 см


"

Кепка Buff Run Cap Adren Cape Blue,778 грн622 грн,"

	Легка та зручна кепка для бігу та активних занять спортом від іспанського виробника, якому довіряють мандрівники з усього світу. Чудово підійде для бігу на довгі дистанції та всім, хто шукає високотехнологічний спортивний головний убір. Кепка з унікальним дизайном, створена для максимального комфорту під час інтенсивних занять спортом. Тканина дихає, швидко сохне та відводить вологу. Дарує не лише комфорт, а й робить ваші пригоди під палючим сонцем більш безпечними завдяки сертифікованому захисту UPF50 + від ультрафіолетового випромінювання – тканини, що використовувались під час виробництва, протестовані на захист від ультрафіолетового випромінювання відповідно до міжнародних стандартів.

Призначення: біг, трекінг, прогулянки.

Особливості: 

	- стильна та практична

	- легка

	- має вентиляцію

	- тканина дихає та добре відводить вологу

	-спеціальна стрічка всередині для відведення поту

	- захист від ультрафіолетового випромінювання

	- чудово підходить для бігу та інших видів активного відпочинку

Технічні характеристики: 

	Вага: 91 г

	Матеріали: 96% Polyester, 4% Elastane


"

Кепка Buff Trek Cap,778 грн,"

	Легка та зручна кепка, створена для життя на природі, забезпечить комфорт та добру повітропроникність під час трекінгу чи занять спортом у сонячну, спекотну погоду. Чудово підійде всім любителям подорожувати та тим, хто шукає високотехнологічний спортивний головний убір.

Особливості: 

	- стильна та практична

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- ідеально підходить для бігу та інших видів активного відпочинку

Технічні характеристики: 

	Вага: 80 г

	Матеріали: 90% поліестер, 10% еластан

	Розмір:  57.5 см

	Стать: унісекс

	Розміри: 27x19,5 см
"

Кепка Buff Trucker Cap,973 грн,"

	Легка та зручна кепка від Buff. Практична та стильна – створена для життя під сонцем. Модель виконана у стилі 80-х. У такій кепці ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом.

Призначення: літні мандрівки, щоденне використання у місті, хайкінг.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка 

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

Технічні характеристики: 

	Вага: 100 г

	Матеріали: 97% поліестер, 3% еластан

	УФ-захист: 98% UV Protection

	Розмір: S/M
"

Кепка Buff Trucker Cap amdo multi,973 грн,"

	Легка та зручна кепка від Buff. Практична та стильна – створена для життя під сонцем. Модель виконана у стилі 80-х. У такій кепці ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом.

Призначення: літні мандрівки, щоденне використання у місті, хайкінг.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка 

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

Технічні характеристики: 

	Вага: 100 г

	Матеріали: 97% поліестер, 3% еластан

	УФ-захист: 98% UV Protection

	Розмір: S/M
"

Кепка Buff Trucker Cap Collage Multi,893 грн,"

	Легка та зручна кепка з весняно-літньої колекції Buff 2018. Практична та стильна – створена для життя під сонцем. Класична кепка із серії Trucker Cap з логотипом Buff. Модель виконана в стилі heritage – стиль не підвладний часу. У кепках серії Trucker Cap Ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка на кнопках

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- внутрішня окантовка поглинає зайву вологу

	- дозволяє відчувати себе комфортно в спекотну погоду до 30 °C.

Технічні характеристики: 

	Вага: 84 г

	Матеріали: 97% поліестер, 3% еластан

	Розмір:  дорослий

	Стать: чоловіча

	Розміри: 19,5x28,5 см

	УФ-захист: 98% UV Protection
"

Кепка Buff Trucker Cap Starky Multi,1 088 грн,"

	Легка та зручна кепка з весняно-літньої колекції Buff 2018. Практична та стильна – створена для життя під сонцем. Класична кепка із серії Trucker Cap з логотипом Buff. Модель виконана в стилі heritage – стиль не підвладний часу. У кепках серії Trucker Cap Ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка на кнопках

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- внутрішня окантовка поглинає зайву вологу

	- дозволяє відчувати себе комфортно в спекотну погоду до 30 °C.

Технічні характеристики: 

	Вага: 84 г

	Матеріали: 97% поліестер, 3% еластан

	Розмір:  дорослий

	Стать: чоловіча

	Розміри: 19,5x28,5 см

	УФ-захист: 98% UV Protection
"

Кепка Buff Trucker Cap tzom stone blue,973 грн,"

	Легка та зручна кепка від іспанського виробника, якому довіряють мандрівники з усього світу. Практична та стильна – створена для життя під сонцем. Класична кепка із серії Trucker Cap. Модель виконана в стилі heritage – стиль, не підвладний часу. Дизайнери запозичили форму головного убору у американських далекобійників 80-х років. У кепках серії Trucker Cap Ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом. Дарує не лише комфорт, а й робить ваші пригоди під палючим сонцем більш безпечними завдяки сертифікованому захисту UPF50 + від ультрафіолетового випромінювання – тканини, що використовувались під час виробництва, протестовані на захист від ультрафіолетового випромінювання відповідно до міжнародних стандартів.

Призначення: біг, трекінг, прогулянки.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка на кнопках

	- чудово допасовується до різних розмірів

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- внутрішня окантовка поглинає зайву вологу

	- не можна прати у пральній машині

	- дозволяє відчувати себе комфортно в спекотну погоду до 30 °C.

Технічні характеристики: 

	Матеріали: Polyester 100%, козирок – 100% Cotton

	Розмір: дорослий

	Розміри: 21,5X26 см


"

Кепка Buff Trucker Tech Cap,966 грн773 грн,"

	Класична кепка із серії Trucker Cap з логотипом Buff. Захистить від сонця під час бігу та трекінгу. Біжіть стильно та комфортно із найбільш технологічною версією головного убору. Модель виконана в стилі heritage – стиль не підвладний часу. Дизайнери запозичили форму головного убору у американських далекобійників 80-х років. У кепках серії Trucker Cap Ви будете виглядати гармонійно як на вулицях мегаполісу, так і подорожуючи світом.

Особливості: 

	- стильна та практична

	- вставка з сітчастого матеріалу

	- регульована застібка на кнопках

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- внутрішня окантовка поглинає зайву вологу

	- дозволяє відчувати себе комфортно в спекотну погоду до 30 °C

Технічні характеристики: 

	Вага: 90 г

	Матеріали: 97% поліестер, 3% еластан

	Розмір:  57,5 см

	Стать: чоловіча

	Розміри: 19,5x28,5 см

	УФ-захист: 98% UV Protection
"

Кепка Buff Visor,713 грн570 грн,"

	Класичний біговий аксесуар від іспанського виробника, якому довіряють мандрівники з усього світу. Практична та стильна – створена для активних фізичних занять під сонцем. Козирок регулюється, для безпечнішого пересування у темний час доби має світловідбиваючі елементи.

Призначення: біг.

Особливості: 

	- регулюється

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- високотехнологічний матеріал, який швидко сохне

	- світловідбиваючі елементи

Технічні характеристики: 

	Матеріали: 100% Polyester

	Розмір: 53-61


"

Кепка Buff Visor Solid,713 грн570 грн,"

	Класичний біговий аксесуар від Buff. Практична та стильна кепка – створена для активних фізичних занять під сонцем. Козирок регулюється, для безпечнішого пересування у темний час доби має світловідбиваючі елементи.

Призначення: біг, тренування, заняття спортом.

Особливості: 

	- регулюється

	- тканина дихає та добре відводить вологу

	- захист від ультрафіолетового випромінювання

	- високотехнологічний матеріал, який швидко сохне

	- світловідбиваючі елементи

Технічні характеристики: 

	Матеріали: 100% Polyester

	Вага: 50г


"
